ID,word,translation,rating
351,frowning,"нахмуренный, сморщенный [ fraunɪŋ ]",0
2790,recline,"склоняться, нависать облокачиваться; склоняться,укладывать, откидывать назад,[ rɪ'klaɪn ]",0
2182,impersonation,"подражание, пародирование, передразнивание воплощение, олицетворение [ ɪmˌpɜːs(ə)'neɪʃ(ə)n ]",0
2440,shove it,"амер.; груб. катиться ко всем чертям, убираться вон []",0
1373,flicker,"мерцать прям. и перен.; сверкать; мигать мелькнуть,молниеносное появление; мелькание; проблеск [ 'flɪkə ]",0
2203,mince,"крошить, рубить пропускать через мясорубку смягчать, умалять; преуменьшать держаться жеманно говорить очень чётко, с хорошей дикцией и произношением семенить ногами, ступать маленькими шажками фарш [ mɪn(t)s ]",0
1738,teeming,"переполненный, битком набитый проливной [ 'tiːmɪŋ ]",0
183,saggy,"вялый, отвисший [ 'sægɪ ]",0
1690,resemble,"походить, иметь сходство Syn: compare [ rɪ'zembl ]",0
2583,nowadays,в наши дни; теперь; в наше время настоящее время [ 'nauədeɪz ],0
1789,crisply,"решительно, твёрдо [ 'krɪsplɪ ]",0
2213,oversee,"наблюдать, надзирать; следить,увидеть случайно, подсмотреть [ ˌəuvə'siː ]",0
2800,scenic,"живописный, красивый сценический; театральный изображающий эпизод, сцену [ 'siːnɪk ]",0
1454,pummel,"бить, избивать (особенно кулаками) ; тузить Syn: pound, thump [ 'pʌm(ə)l ]",0
1557,wreck,"крушение, авария, гибель, катастрофа обломки развалины терпеть крушение вызывать крушение; топить подрывать, губить рушиться [ rek ]",0
125,leap (leapt),"прыжок, скачок [lip, lept]",0
2391,pick,"кирка, кайло, лом; ледоруб приспособление с заострённым концом клевать, поклёвывать выбирать, отбирать, долбить, просверливать,обдирать, ощипывать австрал.; новозел.; разг. просекать, уяснить себе (делать выводы) заблокировать (соперника; выбор результат что-л. отборное, лучшая часть блок, разрешённый правилами [ pɪk ]",0
1041,off his rocker,"off one's rocker чокнутый, с приветом, не все дома syn: crazy; off one's dot []",0
170,rattled,"смущать, приводить в замешательство",0
1231,"promised Harry he would flay him to within an inch of his life when the Masons had left,...",[],0
2694,daring,"смелость; отвага бесстрашный, мужественный,дерзкий открытый, обнажающий тело (о платье) [ 'deərɪŋ ]",0
1983,embossed,"резной, тиснёный, чеканный рельефный; выпуклый богато украшенный напыщенный [ ɪm'bɔst ], [ em- ]",0
616,in a flash,"в один миг, в мгновение ока immediately, instantaneously []",0
974,audience,публика; зрители [ 'ɔːdɪən(t)s ],0
1998,groom,"конюх; грум сокр. от bridegroom жених придворный слуга работник мужчина ходить за лошадью, чистить лошадь готовить к определенной должности, карьере [ gruːm ]",0
1432,muck,"навоз; дерьмо грязь; мусор; отходы неудачная попытка, провал пачкать [ mʌk ]",0
229,stunt-these people,каскадеры-эти люди,0
638,meanwhile,"тем временем, между тем, пока [ ˌmiːn'waɪl ]",0
